release_date,title,lyrics
2018,​ghostin," I know you hear me when I cry I try to hold it in at night While you're sleeping next to me But it's your arms that I need this time  Look at the cards that we've been dealt If you were anybody else Probably wouldn't last a day Every tear's a rain parade from hell    Baby, you do it so well You've been so understanding, you've been so good And I'm puttin' you through more than one ever should And I'm hating myself 'cause you don't want to Admit that it hurts you   I know that it breaks your heart when I cry again Over him, mmh I know that it breaks your heart when I cry again 'Stead of ghostin' him   We'll get through this, we'll get past this, I'm a girl with A whole lot of baggage But I love you, we'll get past this, I'm a girl with A whole lot of baggage, oh yeah   Though I wish he were here instead Don't want that living in your head He just comes to visit me When I'm dreaming every now and then  And after all that we been through  There's so much to look forward to What was done and what was said Leave it all here in this bed with you    Baby, you do it so well You've been so understanding, you've been so good And I'm puttin' you through more than one ever should And I'm hating myself 'cause you don't want to Admit that it hurts you, baby   I know that it breaks your heart when I cry again Over him, mmh I know that it breaks your heart when I cry again 'Stead of ghostin' him   We'll get through this, we'll get past this, I'm a girl with  A whole lot of baggage But I love you , we'll get past this  I'm a girl with a whole lot of baggage, yeah yeah"
2018,​sweetener," When life deals us cards  Make everything taste like it is salt  Then you come through like the sweetener you are   To bring the bitter taste to a halt     And then you get it, get it, get it, get it  Hit it, hit it, hit it, hit it  Flip it, flip it, flip it You make me say oh , oh  Twist it, twist it, twist it, twist it Mix it and mix it and mix it and mix it Kiss it, kiss it, kiss it You make me say oh , oh    I like the way you lick the bowl  Somehow your method touches  my soul  It lifts me up to heights unknown  So when they ask, ""How's life?""  I go    When life deals us cards  Make everything taste like it is salt  Then you come through like the sweetener you are   To bring the bitter taste to a halt     And then you get it, get it, get it, get it  Hit it, hit it, hit it, hit it  Flip it, flip it, flip it You make me say oh , oh  Twist it, twist it, twist it, twist it Mix it and mix it and mix it and mix it Kiss it, kiss it, kiss it You make me say oh , oh    Your mama sent us horoscopes  Had so much fun watching them unfold  You said she like me, I smile , I know  So when they ask, ""How’s life?""  I go    When life deals us cards  Make everything taste like it is salt  Then you come through like the sweetener you are   To bring the bitter taste to a halt     And then you get it, get it, get it, get it  Hit it, hit it, hit it, hit it  Flip it, flip it, flip it You make me say oh , oh  Twist it, twist it, twist it, twist it Mix it and mix it and mix it and mix it Kiss it, kiss it, kiss it You make me say oh , oh    And then we lay it back, talk the rest of the night Things that we can light make me say oh , oh  Talking 'bout what you wanna do, whether it's wrong or right I am followin’ you 'cause you make me say oh , oh   Said I don't know what I'd do without you in my life , it'd be so sour  I'm hoping that everybody can experience what we have in ours    When life deals us cards  Make everything taste like it is salt  Then you come through like the sweetener  you are To bring the bitter taste to a halt    And then you get it, get it, get it, get it  Hit it, hit it, hit it, hit it  Flip it, flip it, flip it You make me say oh , oh  Twist it, twist it, twist it, twist it Mix it and mix it and mix it and mix it Kiss it, kiss it, kiss it  You make me say oh , oh  You make me say oh, babe! Hey, ayy, oh yeah…"
2018,​in my head," Here's the thing: you’re in love with a version of a person that you've created in your head, that you are trying to but cannot fix. Uh, the only person you can fix is yourself. I love you, this has gone on way too long. Enough is enough. I'm two blocks away, I’m coming over.​   Painted a picture, I thought I knew you well I got a habit of seeing what isn't there Caught in the moment, tangled up in your sheets When you broke my heart, I said you only wanted half of me   My imagination's too creative They see demon, I see angel, angel , angel Without the halo, wingless angel   Falling, falling, but I never thought you'd leave me Falling, falling, needed something to believe in, oh I thought you were the one But it was all in my head It was all in my head    Yeah, look at you , boy, I invented you Your Gucci tennis shoes, runnin' from your issues Cardio good for the heart  I figured we could work it out, hmm   Painted a picture; I thought I drew you well I had a vision, seeing what isn't there Caught in the moment, tangled up in your sheets When you broke my heart, said you only wanted half of me   My imagination's too creative They see Cain and I see Abel , Abel , Abel I know you're able, willin’ and able   Falling, falling, but I thought that you would need me Falling, falling, needed something to believe in, oh I thought you were the one But it was all in my head It was all in my head    Yeah, look at you , boy, I invented you Your Gucci tennis shoes, runnin’ from your issues Cardio good for the heart  I figured we could work it out, hmm   Wanted you to grow, but, boy, you wasn't budding Everything you are made you everything you aren’t I saw your potential without seein' credentials Maybe that's the issue  Said maybe that's the issue, ah Can’t hold that shit against you, ah Guess I did it to myself, yeah Thought you were somebody else, you   Thought you were somebody else, you  Thought you were somebody else, you"
2018,NASA," This is one small step for woman One giant leap for woman-kind   I'd rather be alone tonight You can say ""I love you"" through the phone tonight Really don’t wanna be in your arms tonight I'll just use my covers to stay warm tonight Think I'm better off here all alone tonight Ain’t no checkin' on when I get home tonight Just makin' sure I'm good on my own tonight Even though there isn't nothin' wrong tonight   Yeah, I'm just sayin', baby I can’t really miss you if I’m with you And when I miss you, it'll change the way I kiss you Baby, you know time apart is beneficial It’s like I'm the universe and you be N-A-S-A   Give you the whole world, I'ma need space I'ma need space, I’ma, I'ma need You know I'm a star; space, I'ma need space I'ma need space, I'ma, I'ma need space  Give you the whole world, I'ma need space I'ma need space, I'ma, I'ma need You know I'm a star; space, I'ma need space I'ma need space, I'ma, I'ma need space    Bottom line Usually, I would love it if you stayed the night I just think I'm on another page tonight It ain't nothing wrong with saying I need me time Usually, I would orbit around you But gravity seems to be the only thing that's pulling me You'll be my rise and shine soon as them stars align, mmm   Baby, I can't really miss you if I'm with you And when I miss you, it'll change the way I kiss you Baby, you know time apart is beneficial It's like I'm the universe and you be N-A-S-A   Give you the whole world, I'ma need space I'ma need space, I'ma, I'ma need You know I'm a star; space, I'ma need space I'ma need space, I'ma, I'ma need space  Give you the whole world, I'ma need space I'ma need space, I'ma, I'ma need You know I'm a star; space, I'ma need space I'ma need space, I'ma, I'ma need space    You don't wanna leave me, but I'm tryna self-discover Keep me in your orbit and you know you'll drag me under You don't wanna leave me, but I'm tryna self-discover  Keep me in your orbit and you know you'll drag me under    I'd rather be alone tonight You can say ""I love you"" through the phone tonight"
2018,​R.E.M.," Last night, boy, I met you, yeah When I was asleep  You're such a dream to me, mmm, woah And it was on a day like this, yeah If you can believe, if you can believe  You're such a dream to me   Before you speak, don't move 'Cause I don't wanna wake up Wake up, wake up, wake up Don't wanna wake up, oh Wake up, wake up, wake up Boy, you're such a dream If you can believe, babe Boy, you're such a dream to me   ""Excuse me, um, I love you"" I know that's not the way to start a conversation, trouble I watch them other girls when they come and bug you But I felt like I knew you, so I just wanted to hug you Plus you don't know your way around You can stop your playing now All your worries, lay 'em down, shh, don't say it loud Is this real, baby?  You're like: ""I love you—who starts a conversation like that?"" Nobody, but I do But you are not a picture, I can't cut you up and hide you I'll get you out my mind, mhm, or try to But I just want to stand and yell I will never dare to tell Think I heard some wedding bells, shh, keep it to yourself Is this real?    Before you speak, don't move 'Cause I don't wanna wake up Wake up, wake up, wake up Don't wanna wake up, oh no Wake up, wake up, wake up 'Cause you're such a dream If you can believe You're such a dream to me, mmm, boy   I could buy you anything, but I cannot buy you Before your boy gets smart, I would never try to You know I'm thinking to myself, ""What happened? Why you?"" But when I see you in my dreams, psh, I know You know how to treat it, you know how to eat it You know how to beat it  The Good Housekeeping Seal  I don't just wanna touch you I'm tryna turn two single people into a couple What's your next month like? Tell me what you're up to We can leave right now, boy, you don't need a duffel What about La Perla? Let Vickie keep her secret Boy, it ain't no secret if I know you're gonna peep it, oh   Before you speak, don't move 'Cause I don't wanna wake up Wake up, wake up, wa-wake up Wake up, wake up, wake up, wa-wake up  'Cause you're such a dream  If you can believe, you're such a dream to me To me, mmm, boy, to me"
2018,Into You," I'm so into you, I can barely breathe And all I wanna do is to fall in deep But close ain't close enough, 'til we cross the line, hey yeah So name a game to play, and I'll roll the dice, hey   Oh baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move Before I make a move   So, baby, come light me up, and, baby, I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep this secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you, oh, yeah   This could take some time, hey Made too many mistakes Better get this right, right, baby   Oh, baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move Before I make a move   So, baby, come light me up, and, baby, I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep this secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a, little more touch my body 'Cause I'm so into you, into you, into you, oh yeah    Tell me what you came here for 'Cause I can't, I can't wait no more I'm on the edge with no control And I need, I need you to know You to know, oh   So, baby, come light me up, and, baby, I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep this secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you   So come light me up So come light me up, my baby Little dangerous A little dangerous, my boy A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you"
2018,​fake smile," After laughter comes tears After laughter comes tears   Another night, another party, sayin' hi to everybody I’m sorry, it's time to leave, I gotta leave now Got somewhere I gotta be now, I'm starving Can somebody walk me to my car? If I go alone, I’m not gon' make it very far I'm happy for the love and all of the above If I'm being honest, I done been through way too much   I can't fake another smile I can't fake like I'm alright Woo, ah  And I won't say I’m feeling fine After what I been through, I can’t lie Woo, ah    Fuck a fake smile, smile Fuck a fake smile, fake smile   I read the things they write about me Hear what they're sayin’ on the TV, it's crazy It's gettin' hard for them to shock me But every now and then, it’s shocking, don't blame me I know it's the life that I chose But baby, I'm grateful, I want you to know I'm happy for the love and all of the above If I'm being honest, I done been through way too much   I can't fake another smile I can't fake like I'm alright Woo, ah  And I won't say I'm feeling fine After what I been through, I can't lie Woo, ah    Fuck a fake smile, smile Fuck a fake smile, fake smile   If I'm hurt, I ain't gon' lie about it Arms crossed with the attitude, lips pouted If I'm mad, I ain't gon' lie about it Neck roll with the attitude, yuh If I'm hurt, I ain't gon' lie about it Arms crossed with the attitude, lips pouted If I'm mad, I ain't gon' lie about it Neck roll with the attitude, yuh   I can't fake another smile  I can't fake like I'm alright  Woo, ah   And I won't say I'm feeling fine  After what I been through, I can't lie Woo, ah    Fuck a fake smile, smile Fuck a fake smile, fake smile "
2018,​the light is coming," You wouldn't let anybody speak and instead— You wouldn't let anybody speak and instead—   Ayo, trophy wife, out, you won me Until you had to find out it's one me No-now you benched, aww, your bum knee Now I'm the bad guy, call me Chun-Li  'Cause you was slippin', yep, you clumsy And everything I peeped, can't just unsee Sips tea, and it's unsweet Re-respect bad gyal when mi done speak  Now he shooting his shot like drive-by Why-why-why you had to make me go call up my side guy? Ca-ca-can't let a f-boy eff up my nice vibes Yo, Ariana, come let me give you a high five   The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead—   ""What did she say?,"" ""What did he say?"" You don't listen 'cause you know everything You don't even need dreams Tellin' everybody, ""Stay woke, don't sleep""   Ah, gonna break that shit down You don't wait, tell 'em wait another round Ah, guess you're way above it now And that's your way to love it now   How can they tell you shit that you've been through? They are so confused, who cares about their rationale? If it ain't your view That's the bottom line Know-it-all  Give you a box of chances, every time you blow it all  As if it were shade, you would just throw it all  It's like you're trying not to glow at all  Know-it-all    The light is coming to give back everything the darkness stole, stole, st-st-stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole, stole, stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole, stole, st-st-stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole, stole, stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead—   Why do we have chemistry?  With a need for speed  Doin' things that trouble clings  to And burns off our wings   Ah, gonna break that shit down  You don't wait, tell 'em wait another round  Ah, guess you're way above it now  And that's your way to love it now   How can they tell you shit that you've been through? They are so confused, who cares about their rationale? If it ain't your view That's the bottom line You wouldn't let anybody speak and instead— Know-it-all  Give you a box of chances, every time you blow it all  As if it were shade, you would just throw it all  It's like you're trying not to glow at all  Know-it-all    The light is coming to give back everything the darkness stole, stole, st-st-stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole, stole, stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole, stole, st-st-stole You wouldn't let anybody speak and instead— The light is coming to give back everything the darkness stole You wouldn't let anybody speak and inst—"
2018,​goodnight n go," Tell me why you gotta look at me that way You know what it does to me So baby, what you tryna say? Ayy Lately, all I want is you on top of me You know where your hands should be So baby, won't you come show me? Mmm I got you, I got you dreamin'  You close your eyes and you're screamin'  Play with your mind for no reason I know you love how I tease it  You know that I'm playin', so don't be mistaken You already know what I'm thinkin', boy   Oh, why'd you have to be so cute? It's impossible to ignore you, woah Why must you make me laugh so much? It's bad enough we get along so well   Just say goodnight and go Ohh, ohh, ohh Just say goodnight and go Ohh, ohh, ohh Just say goodnight and go   One of these days You'll miss your train and come stay with me  We'll have drinks and talk about things And any excuse to stay awake with you And you'd sleep here, I'd sleep there But then the heating may be down again  We'd be good, we'd be great together   Why'd you have to be so cute? It's impossible to ignore you, woah Why must you make me laugh so much? It's bad enough we get along so well   Just say goodnight and go Ohh, ohh, ohh Just say goodnight and go Ohh, ohh, ohh   I know how you want it, baby, just like this Know you're thinkin' 'bout it, baby, just one kiss While you're lookin' at 'em, baby, read my lips I know what you want, but you can't have this   Ta-da-da-da-da-da-da-da-da-da-da-da-da Ta-da-da-da-da-da-da-da-da-da-da-da-da Ta-da-da-da-da-da-da-da-da-da-da-da-da Ta-da-da-da-da-da-da-da-da-da-da-da-da Wanna say goodnight Honey, say goodnight and go Wanna say goodnight Baby, say goodnight and go Wanna say goodnight Say goodnight and go"
2018,​bloodline," Because I'm trying to do the best I can And they can't find something to satisfy me, ugh   Mmm, yeah, yuh Even though you're bad for me, I know You're the one that I'm thinkin' Got me feelin' so incredible Would you mind maybe linkin'?   Love me, love me, baby Are you down? Can you let me know? Love me, thank you, leave me Put it down, then it's time to go Get it like you love me But you don't, boy, it's just for show Take it or leave it, you gotta take it or leave it like uh   Don't want you in my bloodline, yeah Just wanna have a good time, yeah And no need to apologize, no But you gon' have to let this shit go Don't want you in my bloodline, yeah Not tryna make you all mine, yeah And no need to apologize, no But you gon' have to let this shit go, yeah   Yeah-eh-eh Yeah-eh Yeah, yeah, yuh   No, we won't be talking the next day I ain't got nothin' to say  I ain't lookin' for my one true love Yeah, that ship sailed away   Love me, love me, baby Are you down? Can you let me know? Love me, thank you, leave me Put it down, then it's time to go Get it like you love me But you don't, boy, it's just for show Take it or leave it, you gotta take it or leave it like uh   Don't want you in my bloodline, yeah Just wanna have a good time, yeah And no need to apologize, no But you gon' have to let this shit go Don't want you in my bloodline, yeah  Not tryna make you all mine, yeah  And no need to apologize, no  But you gon' have to let this shit go, yeah   Oh, yeah Yeah-eh-eh Yeah-eh Yeah, yeah, yeah   Say I know what you want, what you want from me I know what you think, what you think you see  I know what you looking for, but I'm complete  I know what you need, but it won't be me I know what you want, what you want from me I know what you think, what you think you see I know what you looking for, but I'm complete I know what you need, but it won't be me    Don't want you in my bloodline, yeah  Just wanna have a good time, yeah  And no need to apologize, no  But you gon' have to let this shit go  Don't want you in my bloodline, yeah Not tryna make you all mine, yeah And no need to apologize, no But you gon' have to let this shit go, yeah   Woo Yeah-eh-eh, yeah Yeah, yeah, yeah Yeah-eh-eh Yeah, yeah, yeah Yeah, yeah yeah"
2018,Let Me Love You," I just broke up with my ex Now I’m out here single, I don’t really know what’s next But I ain’t even trippin', I'ma chill and sit back And I know they will be coming from the right And the left, left, left I just broke up with my ex and You're the one I’m feeling as I'm laying on your chest Good conversation got me holding my breath And I don’t normally say this but goddamn You the best, best, best   And if it feels right, promise I don't mind And if it feels right, promise I'll stay here all night   Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you   As I'm laying on your chest I'll be out here thinkin' 'bout it, boy, it's just a guess But something just keeps telling me I'm better than the rest And I ain't tryna rush you, but goddamn, I'm a mess, mess, mess   And if it feels right, promise I don't mind And if it feels right, promise I'll stay here all night   Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you Just let me lo-o-o-o-o-o-o-love you, you   I say ""Girl, you need a hot boy"" She say ""you need to stop  with them thots, boy"" I say ""You need a real ,"" she said, ""Yes, Lord"" And what you need your ex for? I'm triple X, Lord Okay, Ariana my lil mama, goodbye to the good girl My ex tripping, it's no Biggie, I 2Pac shook her I'm laid up with my new thing, she lay her head on my new chain Then the mood change, my name change from 'Lil Wayne' to 'Ooh, Wayne,' oh Lord She grinding on this Grande, oh Lord I'm drowning, I'm gonna need that coast guard And when it comes to that , I give her amnesia She just looking for love, she says she single and I'm her feature Oh, my God    Just let me lo-o-o-o-o-o-o-love you, you Tunechi, Mula baby Just let me lo-o-o-o-o-o-o-love you, you  Just let me lo-o-o-o-o-o-o-love you, you She's looking for love  Just let me lo-o-o-o-o-o-o-love you, you She's looking for love  Just let me lo-o-o-o-o-o-o-love you, you She's looking for love Just let me lo-o-o-o-o-o-o-love you, you  She's just looking for love She's just looking for love   I'ma give her that love He gon' gimme that love She's just looking for love Boy, I'm looking for love, baby I'ma give her that love I'ma give her that... I'ma give her that..."
2018,Dangerous Woman,"    Don't need permission Made my decision to test my limits 'Cause it's my business, God as my witness Start what I finished Don't need no hold up Taking control of this kind of moment I'm locked and loaded Completely focused, my mind is open   All that you got Skin to skin, oh my God Don't you stop, boy   Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you Makes me wanna do things that I shouldn't Somethin' 'bout, somethin' 'bout, somethin' 'bout   Nothing to prove and I'm bulletproof and Know what I'm doing The way we're movin' Like introducing us to a new thing I wanna savor, save it for later The taste, the flavor, 'cause I'm a taker, 'cause I'm a giver It's only nature, I live for danger   All that you got Skin to skin, oh my God Don't ya stop, boy    Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you Makes me wanna do things that I shouldn't Somethin' 'bout, somethin' 'bout, somethin' 'bout you   All girls wanna be like that Bad girls underneath, like that You know how I'm feeling inside  All girls wanna be like that Bad girls underneath, like that You know how I'm feeling inside        Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you  Makes me wanna do things that I shouldn't  Somethin' 'bout, somethin' 'bout, somethin' 'bout you    All girls wanna be like that  Bad girls underneath like that You know how I'm feeling inside   All girls wanna be like that Bad girls underneath like that You know how I'm feeling inside    Yeah, there's somethin' 'bout you boy  Yeah, there's somethin' 'bout you boy  Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy  Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy  Yeah, there's somethin' 'bout you boy   You"
2018,​bad idea," I've been outta sight I've been worried 'bout you lately Runnin' outta time Wishin' you would come and save me   'Cause I don't wanna roll with it  Tryna get control of it  Why can't I let go of it?  Gotta find somebody quickly    I got a bad idea How 'bout we take a little bit of time away? I got a bad idea Forget about it, yeah, forget about him, yeah Forget about me  I got a bad idea  Yeah, I'ma call you over here to numb the pain  I got a bad idea  Forget about it, yeah, forget about him, yeah Forget about me   Yeah, I know we shouldn't, baby, but we will  Need somebody, gimme something I can feel  But, boy, don't trip , you know this isn't real You should know I'm temporary   'Cause I don't wanna roll with it  Tryna get control of it  Why can't I let go of it?  Gotta find somebody quickly, yeah   I got a bad idea How 'bout we take a little bit of time away? I got a bad idea Forget about it, yeah, forget about him, yeah Forget about me  I got a bad idea  Yeah, I'ma call you over here to numb the pain  I got a bad idea  Forget about it, yeah, forget about him, yeah Forget about me   Gotta get control of it Why can't I let go of it?  Wishin' you would come and save me Yeah, yeah-yeah, yeah, yeah   I got a bad idea  How 'bout we take a little bit of time away?  I got a bad idea  Forget about it, yeah, forget about him, yeah Forget about me  I got a bad idea  Yeah, I'ma call you over here to numb the pain  I got a bad idea  Forget about it, yeah, forget about him, yeah Forget about me  Yeah  Forget about it, yeah, forget about him, yeah Forget about me   Forget about it, yeah, forget about him, yeah Forget about me   I got a bad idea How 'bout we take a little bit of time away? I got a bad idea Forget about it, yeah, forget about him, yeah Forget about me"
2018,​better off," You keep me in your orbit Well, I know I'm a hard one to please Give it too much importance My love will have you fall to your knees I tell 'em this too often Know better than to bark up my tree Just for me to fall and leave Nah, I'd rather just watch you smoke and drink, yeah   Steering clear of any headaches to start And if we're being honest I'd rather your body than half of your heart Or jealous-ridden comments That come when you let in them feelings that I don't want I never let 'em know too much Hate gettin' too emotional, yeah   I'm better off without him I'm better off being a wild one On the road a lot, had to keep it a thousand So that I'm better off not being around ya   Go on and face it, I'll never be ready for you, ready for you I swear my love is a curse, make you head over shoes, head over shoes Let's put them topics to bed and go fuck on the roof, just to say that we did it You keep insisting I listen to your proposition I dismiss 'em all, no offense, yeah   Steering clear of any headaches to start And if we're being honest I'd rather your body than half of your heart Or jealous-ridden comments That come when you let in them feelings that I don't want I never let 'em know too much Hate gettin' too emotional, yeah   I'm better off without him I'm better off being a wild one On the road a lot, had to keep it a thousand So that I'm better off not being around ya   I'm better off without him I'm better off being a wild one On the road a lot, had to keep it a thousand So that I'm better off not being around ya"
2018,One Last Time," I was a liar, I gave in to the fire I know I should've fought it, at least I'm being honest Feel like a failure, 'cause I know that I failed you I should've done you better, 'cause you don't want a liar   And I know, and I know, and I know she gives you everything But boy, I couldn't give it to you And I know, and I know, and I know that you got everything But I got nothing here without you   So one last time I need to be the one who takes you home One more time I promise after that, I'll let you go Baby, I don't care if you got her in your heart All I really care is you wake up in my arms One last time I need to be the one who takes you home   I don't deserve it, I know I don't deserve it But stay with me a minute, I swear I'll make it worth it Can't you forgive me? At least just temporarily I know that this is my fault, I should have been more careful   And I know, and I know, and I know she gives you everything But boy, I couldn't give it to you And I know, and I know, and I know that you got everything But I got nothing here without you, baby   So one last time I need to be the one who takes you home One more time I promise after that, I'll let you go Baby, I don't care if you got her in your heart All I really care is you wake up in my arms One last time I need to be the one who takes you home   Yeah, I know I should've fought it At least I'm being honest, yeah But stay with me a minute I swear I'll make it worth it, yeah 'Cause I don't wanna be without you   So one last time I need to be the one who takes you home  One more time I promise after that, I'll let you go Baby, I don't care if you got her in your heart, babe All I really care is you wake up in my arms One last time I need to be the one who takes you home, yeah   One last time I need to be the one who takes you home"
2018,​get well soon," You can feel it, feel it    They say my system is overloaded  I'm too much in my head, did you notice?  My body's here on Earth, but I'm floatin'  Disconnected, so sometimes, I feel frozen and alone   This is for everybody Babe, you gotta take care of your body, yuh yuh yuh Ain't no time to deny it, that is why we talking about it Yeah, we talking about it To deal with it, don't try to get by it Ain't no time to deny it So we had to sit down and just write it   Want you to get better  My life is so controlled by the what-ifs  Is there anybody else whose mind does this, mmm?  Down, down, down, down Is there such a ladder to get above this?    Maybe I should ground myself where the mud is Before I'm gone   This is for everybody Babe, you gotta take care of your body, yuh yuh yuh Ain't no time to deny it, that is why we talking about it  Yeah, we talking about it To deal with it, don't try to get by it  Ain't no time to deny it  So we had to sit down and just write it   You can work your way to the top  Just know that there’s up and downs and there's drops  Unfollow fear and just say ""You are blocked""  Just know there is so much room at the top     Well here's one thing you can trust  It take you and me to make us  One of those days you had enough , I'll be there  'Cause if it ain't one thing, it's another  When you need someone to pull you out the bubble  I'll be right there just to hug you , I'll be there Where are you? Are you home?  Call me right on the phone  I'll be there , yeah, I'll be there I don't care who is gone , you shouldn't be alone  I'll be there , there   You can work your way to the top   (I'm with you, I'm with you, I'm with you, just call me I'm with you, I'm with you) Just know that there’s up and downs and there's drops  (I'm with you, I'm with you, I'm with you, just call me I'm with you, I'm with you) Unfollow fear and just say ""you are blocked""  (I'm with you, I'm with you, I'm with you, just call me I'm with you, I'm with you) Just know there is so much room at the top  (I'm with you, I'm with you, I'm with you, just call me No matter the issue) No matter what, ah, ah, ah   Here's one thing you can trust, yuh It take you and me to make us  One of those days you had enough , I'll be there, I'll be there  'Cause if it ain't one thing, it's another If you need someone to pull you out the bubble I'll be right there just to hug you, I'll be there Where are you? Are you home? Call me right on the phone I'll be there, yeah, I'll be there, I'll be there I don't care who is gone, you shouldn't be alone I'll be there, ooh, there   You can work your way to the top "
2018,The Way," What we gotta do right here is go back Back into time I love the way you make me feel  I love it, I love it  I love the way you make me feel I love it , I love it    Say I’m thinkin' ’bout her every second, every hour Do my singing in the shower, pickin' petals off of flowers like Do she love me, do she love me not?  I ain’t a player, I just ***** * *** You give me that kinda somethin' Want it all the time, need it every day On a scale of one to ten I’m at a 100 Never get enough, I can’t stay away   If you want what I got, I got it every day You can get whatever you need from me Stay by your side, I’ll never leave ya And I ain’t going nowhere 'cause you’re a keeper   So don’t you worry Baby, you got me  I, I got a bad boy, I must admit it  You got my heart, don’t know how you did it  And I don't care who sees it, babe, I don't want to hide the way I feel when you're next to me    I love the way  I love the way  Baby, I love the way  Ohh, I love the way, the way I love you    Ohh, it's so crazy, you get my heart jumpin' When you put your lips on mine And honey it ain’t a question  'Cause, boy, I know just what you like   So if you need it, I got it, I got it every day Be your lover, your friend, you’ll find it all in me Stay by your side, I’ll never leave ya Said I ain’t going nowhere 'cause you’re a keeper   So don’t you worry Baby, you got me  I, I got a bad boy, I must admit it  You got my heart, don’t know how you did it  And I don't care who sees it, babe, I don't want to hide the way I feel when you're next to me    I love the way  I love the way  Baby, I love the way  Ohh, I love the way, the way I love you    Uh I make you feel so fine, make you feel so fine I hope you hit me on my celly when I sneak in your mind You a princess to the public, but a freak when it’s time Said your bed be feelin' lonely, so you sleepin' in mine Come and watch a movie with me, American Beauty Or Bruce Almighty, that's groovy, just come and move closer to me I got some feelings for ya I’m not gonna get bored of But, baby, you an adventure so let me come and explore ya   So don’t you worry  Baby, you got me  I, I got a bad boy, I must admit it   You got my heart, don’t know how you did it  And I don't care who sees it, babe, I don't want to hide the way I feel when you're next to me    I love the way  I love the way I love the way, I love the way  Baby, I love the way, I love the way  Ohh, I love the way, the way I love you  I love the way  I love the way, I love the way  Baby, I love the way  Ohh, I love the way, the way I love you    The way I love you You, you, yeah, the way I love the way you make me feel I love it, I love it I love the way you make me feel I love it, the way I love you"
